timestamp,open,high,low,close,volume,vwap
2024-01-02 00:00:00,67.56,67.56,65.48,65.77,7908570,66.27
2024-01-03 00:00:00,66.92,68.36,66.72,68.19,7136842,67.75666666666666
2024-01-04 00:00:00,68.19,68.39,66.4,67.57,5001044,67.45333333333333
2024-01-05 00:00:00,68.83,69.315,68.36,69.03,4996548,68.90166666666667
2024-01-08 00:00:00,66.07,66.49,65.54,66.4,6270280,66.14333333333333
2024-01-09 00:00:00,67.3,67.95,66.71,67.39,4394073,67.35000000000001
2024-01-10 00:00:00,68.27,68.68,66.34,66.56,6307736,67.19333333333334
2024-01-11 00:00:00,68.35,68.92,67.11,67.65,7436422,67.89333333333333
2024-01-12 00:00:00,69.38,69.81,67.57,68.02,7198815,68.46666666666665
2024-01-16 00:00:00,68.09,68.25,67.11,67.25,4904795,67.53666666666668
2024-01-17 00:00:00,66.48,67.96,66.282,67.94,4462991,67.39399999999999
2024-01-18 00:00:00,68.36,69.31,67.79,69.06,4685914,68.72000000000001
2024-01-19 00:00:00,69.41,69.72,68.21,68.82,4668863,68.91666666666667
2024-01-22 00:00:00,68.88,70.5,68.72,69.69,4992451,69.63666666666667
2024-01-23 00:00:00,69.34,70.3279,69.12,69.66,3164812,69.70263333333334
2024-01-24 00:00:00,69.97,70.88,69.66,70.54,4857614,70.36
2024-01-25 00:00:00,71.48,72.45,71.015,72.23,4979571,71.89833333333333
2024-01-26 00:00:00,71.98,73.1866,71.13,73.1,4822085,72.4722
2024-01-29 00:00:00,72.43,72.45,71.48,72.05,3444897,71.99333333333334
2024-01-30 00:00:00,72,73.1,71.72,72.81,3559179,72.54333333333334
2024-01-31 00:00:00,72.32,72.37,70.66,70.92,5073719,71.31666666666666